epoch,accuracy,loss,fsa_inf_mean,fsa_inf_std
0,0.12618,2.2974777221679688,0.5875515627670288,0.1556950807571411
1,0.16158,2.2813363075256348,0.6097135706138611,0.15426497161388397
2,0.1855,2.2645819187164307,0.6075576970195771,0.15618550777435303
3,0.20644,2.2475028038024902,0.6137918339538574,0.15682926774024963
4,0.2149,2.2300710678100586,0.6161349021911621,0.15745224058628082
5,0.22594,2.2108376026153564,0.6116228815364838,0.15755890309810638
6,0.2355,2.191817283630371,0.6072454211044311,0.1602005958557129
7,0.24128,2.1731619834899902,0.6130343943214417,0.15907147526741028
8,0.24648,2.155653953552246,0.614244086894989,0.16092784702777863
9,0.25252,2.138761043548584,0.6071803416824341,0.15939469635486603
10,0.25708,2.1244094371795654,0.6200913035869599,0.15888234972953796
11,0.26408,2.1107888221740723,0.6187566788768768,0.15893833339214325
12,0.26474,2.098710298538208,0.6170156001377106,0.1599733978509903
13,0.26714,2.088066577911377,0.6204020969104767,0.15869635343551636
14,0.26874,2.0789401531219482,0.6217299912261963,0.15882575511932373
15,0.27228,2.068582773208618,0.6234899913024903,0.15812350809574127
16,0.27366,2.060271978378296,0.6222824567222596,0.15906383097171783
17,0.2723,2.0532960891723633,0.6199064781475068,0.16077694296836853
18,0.27536,2.0468008518218994,0.6213353029537201,0.15713129937648773
19,0.27874,2.0384373664855957,0.6242935463142395,0.1579085886478424
20,0.2794,2.0324864387512207,0.6274310279273987,0.1600189357995987
21,0.28044,2.0272560119628906,0.6219956841278076,0.15960697829723358
22,0.28118,2.0217092037200928,0.6226487207794189,0.15815119445323944
23,0.2845,2.016521453857422,0.6288728268909455,0.15940645337104797
24,0.28282,2.0119292736053467,0.6260566365528106,0.16151149570941925
25,0.28388,2.0084385871887207,0.6249245305061341,0.15875571966171265
26,0.2845,2.002948045730591,0.6262245727539062,0.15979313850402832
27,0.28636,1.999599814414978,0.6302085514926911,0.15852828323841095
28,0.28718,1.9962530136108398,0.6288556199169159,0.15770991146564484
29,0.29004,1.9924795627593994,0.6308287631511689,0.1587986797094345
30,0.29074,1.9902942180633545,0.6295198954963684,0.1589321345090866
31,0.29178,1.9853214025497437,0.6275292708969116,0.1584809273481369
32,0.29244,1.9819731712341309,0.6294227103805542,0.15973064303398132
33,0.29296,1.9794152975082397,0.6326033874416351,0.15879498422145844
34,0.29484,1.9773273468017578,0.6308320010185242,0.15918081998825073
35,0.29356,1.9755996465682983,0.6306597469806671,0.15965381264686584
36,0.29694,1.9720216989517212,0.6338435141468048,0.15752318501472473
37,0.29844,1.9688700437545776,0.63616685795784,0.1575203388929367
38,0.29938,1.9654769897460938,0.6364682126998902,0.1583218276500702
39,0.29834,1.9663387537002563,0.6357742656326294,0.15586717426776886
40,0.2971,1.9645456075668335,0.6343178633594513,0.15775994956493378
41,0.29878,1.9624559879302979,0.6352736731624603,0.15943503379821777
42,0.2994,1.959065318107605,0.6330933977508545,0.15913502871990204
43,0.30342,1.9585200548171997,0.6356907734394074,0.15919433534145355
44,0.30102,1.9560651779174805,0.6355153446006775,0.1575837880373001
45,0.30312,1.9533799886703491,0.6389653979301453,0.1595112532377243
46,0.30204,1.953413724899292,0.6452408893966675,0.15501242876052856
47,0.3028,1.952247977256775,0.6405762550830841,0.15811501443386078
48,0.3054,1.9479326009750366,0.6403675775051116,0.1580601930618286
49,0.30352,1.9491393566131592,0.6357750277233124,0.16164767742156982
50,0.30624,1.9463504552841187,0.6428404874897004,0.15895135700702667
51,0.30416,1.9447352886199951,0.6392984982013702,0.15866972506046295
52,0.30626,1.943707823753357,0.6403840003776551,0.1581697016954422
53,0.30968,1.9428479671478271,0.6443259690761566,0.15752626955509186
54,0.3075,1.9430437088012695,0.6420665831470489,0.16029299795627594
55,0.31104,1.9390281438827515,0.6396791970062256,0.16117075085639954
56,0.30984,1.938747763633728,0.643074710187912,0.1599731743335724
57,0.31044,1.9378504753112793,0.6491602546215057,0.15641938149929047
58,0.3116,1.936449408531189,0.6450562340831757,0.1594838798046112
59,0.31024,1.9342674016952515,0.6455073663711548,0.15932081639766693
60,0.31206,1.9322516918182373,0.6440704138183594,0.15942788124084473
61,0.31294,1.9311639070510864,0.6497860749530793,0.15874116122722626
62,0.3102,1.932376503944397,0.6442487629985809,0.16030004620552063
63,0.31256,1.9275647401809692,0.643372021894455,0.16037411987781525
64,0.31378,1.9298278093338013,0.6450885300254822,0.1599324345588684
65,0.31226,1.9285036325454712,0.6494292706298828,0.15810681879520416
66,0.31302,1.9264793395996094,0.6466811862659454,0.16012558341026306
67,0.31488,1.9271745681762695,0.6494091436862945,0.15882091224193573
68,0.31548,1.9259847402572632,0.6476366360092163,0.16183143854141235
69,0.3172,1.919173240661621,0.6488920221805573,0.15880939364433289
70,0.3191,1.9208309650421143,0.6451037681484223,0.16134271025657654
71,0.31428,1.9245014190673828,0.6482478103351593,0.1599504053592682
72,0.31862,1.9196830987930298,0.6515132281303406,0.15713469684123993
73,0.3187,1.916965365409851,0.650784445180893,0.1571664661169052
74,0.31688,1.9187593460083008,0.6492728263664246,0.16013073921203613
75,0.31592,1.9176517724990845,0.6492660327339173,0.16028232872486115
76,0.31746,1.9155232906341553,0.6471748157215118,0.16000264883041382
77,0.31878,1.9138470888137817,0.6477426467704773,0.16071388125419617
78,0.31712,1.9130343198776245,0.6536801490306854,0.15868306159973145
79,0.31508,1.9169690608978271,0.6505939689064026,0.15837538242340088
80,0.3182,1.9126065969467163,0.65125238199234,0.16009308397769928
81,0.3185,1.9111530780792236,0.6511425619411468,0.15913450717926025
82,0.3222,1.9099355936050415,0.6533400431537628,0.1582859754562378
83,0.32018,1.9102916717529297,0.6536715141868591,0.15897822380065918
84,0.32326,1.9095944166183472,0.6539097363567352,0.15704934298992157
85,0.32086,1.9053397178649902,0.6529594505310059,0.15802019834518433
86,0.32106,1.9083704948425293,0.6521667311000824,0.15892808139324188
87,0.32034,1.903596043586731,0.6558138633155822,0.15880918502807617
88,0.31986,1.9061249494552612,0.6549320640945434,0.15906839072704315
89,0.321,1.9027751684188843,0.6545433023834228,0.15916535258293152
90,0.3221,1.9026473760604858,0.6570365513515473,0.1590685099363327
91,0.32274,1.9001176357269287,0.6536517260360718,0.16144336760044098
92,0.32424,1.9007278680801392,0.6539250804615021,0.16154828667640686
93,0.32416,1.90216863155365,0.6523323181152344,0.15891782939434052
94,0.32268,1.8984953165054321,0.6586102442550659,0.15850837528705597
95,0.32452,1.9003610610961914,0.6576054191970825,0.15857690572738647
96,0.32442,1.8936712741851807,0.652661397562027,0.15917490422725677
97,0.32512,1.895103931427002,0.6588601069545745,0.15860305726528168
98,0.3267,1.8945118188858032,0.6536385830307007,0.1597151905298233
99,0.32588,1.8933237791061401,0.6512087417793274,0.15960122644901276
