epoch,accuracy,loss,fsa_inf_mean,fsa_inf_std
0,0.21504,2.116363286972046,0.491396157913208,0.1504843682050705
1,0.27778,1.9896293878555298,0.4862147313117981,0.11829236149787903
2,0.2952,1.9555305242538452,0.4946890948867798,0.1170957088470459
3,0.3029,1.9281599521636963,0.49789505428314207,0.11669815331697464
4,0.31386,1.8993053436279297,0.5047558216667175,0.11592208594083786
5,0.32426,1.8794372081756592,0.5033481880187989,0.11787670850753784
6,0.3301,1.8627970218658447,0.5034843169784546,0.11838789284229279
7,0.33216,1.849147081375122,0.5064274720001221,0.11437181383371353
8,0.33672,1.8403942584991455,0.5087139638328553,0.1149107962846756
9,0.34098,1.8281142711639404,0.5059973922538757,0.11422765254974365
10,0.34146,1.8212733268737793,0.5061319573402405,0.11775589734315872
11,0.34408,1.8169387578964233,0.5076163475990295,0.11439546942710876
12,0.34798,1.8098238706588745,0.5074179055976867,0.11591888219118118
13,0.35144,1.800934076309204,0.5082700395011902,0.11463307589292526
14,0.35248,1.7974282503128052,0.5100663072395325,0.11542259156703949
15,0.35822,1.7864421606063843,0.5066678236961365,0.1129332035779953
16,0.36102,1.7818907499313354,0.5070043667793274,0.11285476386547089
17,0.35908,1.7799580097198486,0.512023441619873,0.11716137081384659
18,0.36172,1.7765001058578491,0.5118212170219422,0.11324884742498398
19,0.36256,1.7696490287780762,0.5061932120323182,0.1153128445148468
20,0.3685,1.7603451013565063,0.5073179225921631,0.11371377855539322
21,0.36896,1.7584606409072876,0.510742098941803,0.11515302956104279
22,0.36892,1.7557337284088135,0.5081405348777771,0.11437121033668518
23,0.36614,1.7539600133895874,0.5082887200546264,0.11451158672571182
24,0.37316,1.7462339401245117,0.5110832542228698,0.11538462340831757
25,0.37244,1.743923544883728,0.5065365434074401,0.11531440168619156
26,0.37462,1.7445402145385742,0.5115694013595581,0.11174873262643814
27,0.3748,1.7425637245178223,0.5115712732124329,0.11532600224018097
28,0.37506,1.7348552942276,0.5074051344490051,0.1144644245505333
29,0.37578,1.7354457378387451,0.5084970771980286,0.11448761820793152
30,0.38006,1.731621503829956,0.5068884007072448,0.115125373005867
31,0.38018,1.7277556657791138,0.5109217045783997,0.11255589872598648
32,0.37926,1.7229303121566772,0.5092486089515686,0.11332694441080093
33,0.37788,1.7282501459121704,0.5061691493415833,0.11367648839950562
34,0.38282,1.721688151359558,0.5065662384986878,0.11549753695726395
35,0.38264,1.7150599956512451,0.5096442297172546,0.11343225091695786
36,0.38152,1.7157790660858154,0.5072161484909058,0.1142115667462349
37,0.38442,1.715602993965149,0.5084614811706543,0.11511698365211487
38,0.38306,1.7120776176452637,0.5092972361373901,0.11304954439401627
39,0.38596,1.710024118423462,0.5090683012199402,0.11431063711643219
40,0.38612,1.7122142314910889,0.5076692569541931,0.11515871435403824
41,0.38372,1.7129825353622437,0.5077046957588196,0.11523865163326263
42,0.38828,1.7050257921218872,0.510338547744751,0.1144096776843071
43,0.38638,1.7049827575683594,0.5095332495117187,0.11099990457296371
44,0.39066,1.7009973526000977,0.5109432983589173,0.11429955065250397
45,0.3915,1.6991039514541626,0.5080573495292664,0.11407969892024994
46,0.38912,1.6996246576309204,0.5086523776435852,0.11301695555448532
47,0.38816,1.7001820802688599,0.5078221175384522,0.11414036154747009
48,0.3919,1.6947931051254272,0.5099478705596924,0.11378282308578491
49,0.3935,1.6915360689163208,0.5083107116317749,0.11513645201921463
50,0.39232,1.6924042701721191,0.5093390657806397,0.11451887339353561
51,0.39314,1.6934736967086792,0.5094198850631714,0.11187766492366791
52,0.39506,1.6879745721817017,0.5105381245613099,0.11346878111362457
53,0.39546,1.6880908012390137,0.5109328152656555,0.11348290741443634
54,0.39382,1.6870243549346924,0.5078428983688354,0.1132361888885498
55,0.3916,1.6883186101913452,0.5102328688240051,0.11528337001800537
56,0.39716,1.6806384325027466,0.5048779656028748,0.1135806143283844
57,0.39734,1.6839561462402344,0.5088502619171142,0.11346714943647385
58,0.39578,1.684352993965149,0.5093873522758484,0.11502626538276672
59,0.3982,1.6792385578155518,0.508919630355835,0.1134764552116394
60,0.39496,1.6832830905914307,0.5072554421043396,0.11474737524986267
61,0.39666,1.6748533248901367,0.507743878993988,0.11387389153242111
62,0.39558,1.6782991886138916,0.510724382648468,0.11396544426679611
63,0.39502,1.6803855895996094,0.51054862449646,0.1135273203253746
64,0.3964,1.6735689640045166,0.5098257339859009,0.11517176032066345
65,0.40044,1.6732966899871826,0.5121644819450378,0.1126643568277359
66,0.39702,1.67465078830719,0.5112612949752807,0.11354576796293259
67,0.39926,1.6715798377990723,0.5059649645614624,0.11247878521680832
68,0.40008,1.6724164485931396,0.5098620248222351,0.11352116614580154
69,0.4004,1.6697542667388916,0.5118418634223938,0.11344919353723526
70,0.40178,1.6733115911483765,0.5086424015426636,0.11347445845603943
71,0.40256,1.6644912958145142,0.5096267583847046,0.11143951863050461
72,0.40074,1.6690198183059692,0.510935555152893,0.11266867816448212
73,0.39984,1.6678544282913208,0.5124936079788208,0.11331263929605484
74,0.39824,1.6682733297348022,0.5064706362152099,0.11237626522779465
75,0.40052,1.6640650033950806,0.5111736135482788,0.11264736205339432
76,0.4055,1.6568975448608398,0.507249047203064,0.11288024485111237
77,0.40546,1.6567535400390625,0.5079294544792176,0.11609628796577454
78,0.40428,1.6583302021026611,0.5102429788017273,0.11032014340162277
79,0.40492,1.65646231174469,0.5101186197662354,0.11232894659042358
80,0.40786,1.6593490839004517,0.5079039126014709,0.11471706628799438
81,0.40776,1.6548428535461426,0.5077545326423645,0.11147347092628479
82,0.40374,1.6593998670578003,0.505495424118042,0.1147778257727623
83,0.4084,1.6533277034759521,0.507983342628479,0.11525478959083557
84,0.40526,1.6539150476455688,0.5063679352951049,0.11378443986177444
85,0.40412,1.662304401397705,0.5078585970687867,0.11303231865167618
86,0.40516,1.65739107131958,0.5080194955635071,0.11296305060386658
87,0.4069,1.6541144847869873,0.5100932741165161,0.11523377150297165
88,0.40964,1.6495095491409302,0.5100549591636657,0.11474777013063431
89,0.40808,1.647394061088562,0.5089452380371093,0.11348731815814972
90,0.40774,1.6507067680358887,0.5119047476577758,0.11276507377624512
91,0.40742,1.6490247249603271,0.510042355594635,0.11745023727416992
92,0.40938,1.6502376794815063,0.5090103427124023,0.11235609650611877
93,0.41152,1.644726037979126,0.5074524270057679,0.11577536165714264
94,0.40856,1.6446253061294556,0.5111510590744018,0.11272291839122772
95,0.40958,1.6495317220687866,0.5089964183998108,0.11443820595741272
96,0.40994,1.6478065252304077,0.5081873501586914,0.1133343055844307
97,0.40894,1.6472417116165161,0.5117252045059204,0.11351267993450165
98,0.40882,1.646117925643921,0.5082060062599182,0.11417307704687119
99,0.41328,1.6405962705612183,0.5087314450073243,0.11317356675863266
