epoch,accuracy,loss,fsa_inf_mean,fsa_inf_std
0,0.6134166666666667,1.1861218214035034,1.0,0.0
1,0.6730833333333334,0.9802015423774719,1.0,0.0
2,0.6829666666666667,0.9506554007530212,1.0,0.0
3,0.6907166666666666,0.9216244220733643,1.0,0.0
4,0.7081833333333334,0.8715766072273254,1.0,0.0
5,0.7165,0.8476614952087402,1.0,0.0
6,0.7293166666666666,0.8042957186698914,1.0,0.0
7,0.7384166666666667,0.7782594561576843,1.0,0.0
8,0.74765,0.7550493478775024,1.0,0.0
9,0.7499166666666667,0.7449604272842407,1.0,0.0
10,0.7552666666666666,0.7295896410942078,1.0,0.0
11,0.75985,0.719578206539154,1.0,0.0
12,0.7639,0.7051489949226379,1.0,0.0
13,0.7631166666666667,0.7007954716682434,1.0,0.0
14,0.7682833333333333,0.6929951906204224,1.0,0.0
15,0.7720333333333333,0.6832989454269409,1.0,0.0
16,0.77375,0.6805316209793091,1.0,0.0
17,0.7747166666666667,0.6744453310966492,1.0,0.0
18,0.7726,0.6749858260154724,1.0,0.0
19,0.7737666666666667,0.671420156955719,1.0,0.0
20,0.7790166666666667,0.6584749817848206,1.0,0.0
21,0.7796,0.6598762273788452,1.0,0.0
22,0.7782666666666667,0.6588274836540222,1.0,0.0
23,0.78115,0.6502410769462585,1.0,0.0
24,0.7818833333333334,0.6515816450119019,1.0,0.0
25,0.7829,0.6493163704872131,1.0,0.0
26,0.7839833333333334,0.6451940536499023,1.0,0.0
27,0.7807666666666667,0.6504229307174683,1.0,0.0
28,0.7867666666666666,0.6376447677612305,1.0,0.0
29,0.7881,0.6338772177696228,1.0,0.0
30,0.78735,0.6409298181533813,1.0,0.0
31,0.7863333333333333,0.6398302912712097,1.0,0.0
32,0.7866,0.6355207562446594,1.0,0.0
33,0.7896833333333333,0.6322646737098694,1.0,0.0
34,0.7898833333333334,0.6311314702033997,1.0,0.0
35,0.7897666666666666,0.6303609609603882,1.0,0.0
36,0.7907833333333333,0.6292179226875305,1.0,0.0
37,0.7871833333333333,0.6292986869812012,1.0,0.0
38,0.7896333333333333,0.6274702548980713,1.0,0.0
39,0.7897666666666666,0.6294509172439575,1.0,0.0
40,0.7903833333333333,0.6256930232048035,1.0,0.0
41,0.7917666666666666,0.6214256286621094,1.0,0.0
42,0.7910166666666667,0.6239779591560364,1.0,0.0
43,0.7943666666666667,0.616037130355835,1.0,0.0
44,0.7923,0.6189950108528137,1.0,0.0
45,0.79365,0.6207094192504883,1.0,0.0
46,0.79505,0.6151560544967651,1.0,0.0
47,0.7965666666666666,0.6107128262519836,1.0,0.0
48,0.7928166666666666,0.6183931827545166,1.0,0.0
49,0.7962166666666667,0.6082798838615417,1.0,0.0
50,0.7956,0.6074343919754028,1.0,0.0
51,0.7992833333333333,0.6055505871772766,1.0,0.0
52,0.7949333333333334,0.6153160929679871,1.0,0.0
53,0.8006666666666666,0.6013632416725159,1.0,0.0
54,0.7973,0.6099959015846252,1.0,0.0
55,0.7977666666666666,0.6081957817077637,1.0,0.0
56,0.79415,0.6125450730323792,1.0,0.0
57,0.7998333333333333,0.5986601710319519,1.0,0.0
58,0.7978833333333334,0.6056919693946838,1.0,0.0
59,0.7979166666666667,0.6047512888908386,1.0,0.0
60,0.7981833333333334,0.6033923625946045,1.0,0.0
61,0.7989333333333334,0.6035088300704956,1.0,0.0
62,0.7995666666666666,0.6016550064086914,1.0,0.0
63,0.79945,0.5964108109474182,1.0,0.0
64,0.80315,0.5913007259368896,1.0,0.0
65,0.7972333333333333,0.6067280173301697,1.0,0.0
66,0.8024,0.5957160592079163,1.0,0.0
67,0.7987,0.6004341840744019,1.0,0.0
68,0.7998,0.5947352051734924,1.0,0.0
69,0.80135,0.5938928127288818,1.0,0.0
70,0.8011333333333334,0.5945684909820557,1.0,0.0
71,0.8038333333333333,0.5949509143829346,1.0,0.0
72,0.8012,0.5941715240478516,1.0,0.0
73,0.8025666666666667,0.5914302468299866,1.0,0.0
74,0.8024166666666667,0.5890783071517944,1.0,0.0
75,0.8007,0.5976219177246094,1.0,0.0
76,0.80335,0.59611576795578,1.0,0.0
77,0.8039166666666666,0.5878363847732544,1.0,0.0
78,0.8026666666666666,0.5933324098587036,1.0,0.0
79,0.80345,0.5929491519927979,1.0,0.0
80,0.8013666666666667,0.5921065807342529,1.0,0.0
81,0.80265,0.591651439666748,1.0,0.0
82,0.8025333333333333,0.589661180973053,1.0,0.0
83,0.80475,0.585727334022522,1.0,0.0
84,0.8060166666666667,0.582542896270752,1.0,0.0
85,0.8020166666666667,0.5947546362876892,1.0,0.0
86,0.8026333333333333,0.5886945128440857,1.0,0.0
87,0.80415,0.5889842510223389,1.0,0.0
88,0.8051,0.5851014852523804,1.0,0.0
89,0.8040166666666667,0.5868774056434631,1.0,0.0
90,0.8024333333333333,0.5907244682312012,1.0,0.0
91,0.8031833333333334,0.5903879404067993,1.0,0.0
92,0.80415,0.5841401815414429,1.0,0.0
93,0.8030833333333334,0.5878200531005859,1.0,0.0
94,0.8087,0.578718364238739,1.0,0.0
95,0.8029166666666666,0.5895228981971741,1.0,0.0
96,0.8056333333333333,0.5802091360092163,1.0,0.0
97,0.8052833333333334,0.5831449627876282,1.0,0.0
98,0.8062166666666667,0.5800983309745789,1.0,0.0
99,0.8014,0.5946582555770874,1.0,0.0
