epoch,accuracy,loss,fsa_inf_mean,fsa_inf_std
0,0.32718,1.9024782180786133,0.3464664200979856,0.09818030893802643
1,0.38826,1.7400540113449097,0.3390417313697776,0.09313984960317612
2,0.41878,1.660266399383545,0.3386478152171359,0.09562306851148605
3,0.43814,1.6035574674606323,0.33472700345539086,0.09117204695940018
4,0.45146,1.5652656555175781,0.34056145757417683,0.09422346204519272
5,0.46608,1.5313184261322021,0.33723602806690484,0.09431762993335724
6,0.47562,1.502658724784851,0.33533261276862597,0.09379450231790543
7,0.48558,1.4731510877609253,0.33867938596319097,0.09503389894962311
8,0.49448,1.450079083442688,0.3379290384584257,0.09473595023155212
9,0.50092,1.4303478002548218,0.33477212729853695,0.09422103315591812
10,0.5074,1.408888339996338,0.3377165373364703,0.09384432435035706
11,0.5142,1.3893681764602661,0.3374852351629803,0.09640329331159592
12,0.52212,1.3715187311172485,0.3354192120633824,0.09415793418884277
13,0.52816,1.3557475805282593,0.3378846760903576,0.09543747454881668
14,0.53582,1.337532877922058,0.335880827995271,0.0955456793308258
15,0.5401,1.3219841718673706,0.3433468625550078,0.09812131524085999
16,0.54418,1.3098195791244507,0.33715585791294345,0.09410814195871353
17,0.55096,1.2948538064956665,0.3343122344862095,0.09695160388946533
18,0.55452,1.281838059425354,0.33582433602478895,0.09535685926675797
19,0.55958,1.2680970430374146,0.3376054676846671,0.0957873985171318
20,0.56328,1.2544323205947876,0.33716846053903865,0.09818576276302338
21,0.56792,1.2425382137298584,0.34041770364104823,0.0983070656657219
22,0.57306,1.2306389808654785,0.33810003453618964,0.09746949374675751
23,0.5771,1.2187297344207764,0.3381347508668442,0.09990999847650528
24,0.581,1.2076442241668701,0.33712609975061886,0.09884852170944214
25,0.58736,1.1948449611663818,0.3361135007705127,0.09696859866380692
26,0.58878,1.1848084926605225,0.33860301349838806,0.09754963964223862
27,0.59496,1.1744707822799683,0.3379895388889374,0.09802982956171036
28,0.5966,1.1634190082550049,0.339533621351153,0.09631069004535675
29,0.602,1.1511038541793823,0.3359066600305334,0.09827777743339539
30,0.60434,1.1412022113800049,0.3362214852050566,0.09787597507238388
31,0.60812,1.1318333148956299,0.33329432051073493,0.09623964130878448
32,0.61262,1.1217654943466187,0.3341843338250656,0.09687500447034836
33,0.614,1.1144105195999146,0.3369023204612488,0.0996604934334755
34,0.6204,1.102977991104126,0.3379364480822802,0.09645382314920425
35,0.62254,1.0953468084335327,0.33603939900242663,0.09817809611558914
